date,technical_signal_score,technical_bullish_mentions,technical_bearish_mentions,analyst_rating_score,analyst_rating_present,macro_signal_score,macro_mentions,risk_score,high_risk_mentions,leadership_signal_score,earnings_signal_score,earnings_event_present
2026-01-12,0.0,2,2,-0.07142857142857142,True,0.0,0,0.028571428571428574,0,0.0,0.0,False
2026-01-13,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-15,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-16,0.0,0,0,0.0,False,0.0,0,0.0125,0,0.0,0.0,False
2026-01-17,-0.08333333333333333,0,2,0.0,False,0.0,0,0.008333333333333333,1,0.0,0.0,False
2026-01-18,-0.0625,1,2,0.0625,True,0.0625,1,0.0125,1,0.0,-0.0625,True
2026-01-19,-0.16129032258064516,1,6,0.12903225806451613,True,0.03225806451612903,1,0.009677419354838712,0,0.0,0.03225806451612903,True
2026-01-20,-0.09090909090909091,0,2,0.09090909090909091,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-21,0.0,0,0,0.2,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-22,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-23,0.25,2,0,0.0,False,0.0,0,0.025,0,0.0,0.0,False
2026-01-24,0.0,0,0,0.0,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-27,0.0,0,0,0.3333333333333333,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-28,-0.5,0,1,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-29,-1.0,0,2,0.0,False,1.0,2,0.0,0,0.0,0.0,False
2026-01-30,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-31,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-01,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-03,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-06,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-07,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-08,-1.0,0,1,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-09,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-10,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
